10,100,5,0.0063306524
10,500,5,0.027983729999999995
10,1000,5,0.08686067680000001
10,2000,5,0.28171738960000003
10,5000,5,0.6440942436
10,10000,5,1.8044276419999998
10,50000,5,12.412215269599999
20,100,5,0.009640696399999999
20,500,4,0.07033125925
20,1000,5,0.089980405
20,2000,5,0.30094354019999997
20,5000,5,0.6221160618
20,10000,5,1.9737183137999998
20,50000,5,13.853761820599999
50,100,4,0.01534777375
50,500,5,0.13218454159999998
50,1000,5,0.194383594
50,2000,5,0.4319718031999999
50,5000,5,0.6077041524
50,10000,5,1.707023233
50,50000,3,16.801117038
